Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
direct_entity,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_ontological,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy,0.7312,0.7111,0.9816,0.8247,0.2778,0.9816,0.2594,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_ontological,0.7115,0.694,0.9877,0.8152,0.2111,0.9877,0.1988,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_with_synonyms,0.7549,0.7265,0.9939,0.8394,0.3222,0.9939,0.3161,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_with_synonyms,0.7431,0.7188,0.9877,0.832,0.3,0.9877,0.2877,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity,0.7668,0.7407,0.9816,0.8443,0.3778,0.9816,0.3594,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_ontological,0.7273,0.708,0.9816,0.8226,0.2667,0.9816,0.2483,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy,0.7905,0.7644,0.9755,0.8571,0.4556,0.9755,0.431,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_ontological,0.7945,0.7681,0.9755,0.8595,0.4667,0.9755,0.4421,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_with_synonyms,0.7866,0.7535,0.9939,0.8571,0.4111,0.9939,0.405,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_with_synonyms,0.7866,0.7559,0.9877,0.8564,0.4222,0.9877,0.41,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity,0.7866,0.7608,0.9755,0.8548,0.4444,0.9755,0.4199,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_ontological,0.7905,0.8274,0.8528,0.8399,0.6778,0.8528,0.5305,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy,0.7826,0.7571,0.9755,0.8525,0.4333,0.9755,0.4088,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_ontological,0.8024,0.7958,0.9325,0.8588,0.5667,0.9325,0.4992,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_with_synonyms,0.7668,0.743,0.9755,0.8435,0.3889,0.9755,0.3643,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_with_synonyms,0.7589,0.7361,0.9755,0.8391,0.3667,0.9755,0.3421,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity,0.8814,0.8889,0.9325,0.9102,0.7889,0.9325,0.7214,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_ontological,0.8972,0.9053,0.9387,0.9217,0.8222,0.9387,0.7609,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy,0.8854,0.8895,0.9387,0.9134,0.7889,0.9387,0.7275,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_ontological,0.8617,0.8678,0.9264,0.8961,0.7444,0.9264,0.6708,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.8775,0.8708,0.9509,0.9091,0.7444,0.9509,0.6954,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_with_synonyms,0.8577,0.8588,0.9325,0.8941,0.7222,0.9325,0.6547,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.7668,0.7708,0.908,0.8338,0.5111,0.908,0.4191,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
sequential_hierarchy_with_synonyms,0.6957,0.8258,0.6687,0.739,0.7444,0.6687,0.4132,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
direct_entity,0.7154,0.864,0.6626,0.75,0.8111,0.6626,0.4737,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity_ontological,0.6047,0.8539,0.4663,0.6032,0.8556,0.4663,0.3218,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy,0.7273,0.8561,0.6933,0.7661,0.7889,0.6933,0.4821,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy_ontological,0.5455,0.8429,0.362,0.5064,0.8778,0.362,0.2397,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity,0.5368,0.4778,0.978,0.642,0.2114,0.978,0.1893,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_ontological,0.5205,0.4691,0.9835,0.6352,0.1789,0.9835,0.1623,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy,0.531,0.4747,0.9835,0.6404,0.1972,0.9835,0.1806,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_ontological,0.4924,0.4548,0.9835,0.622,0.1301,0.9835,0.1136,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_with_synonyms,0.5287,0.4735,0.9835,0.6392,0.1931,0.9835,0.1766,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_with_synonyms,0.5275,0.4731,0.9917,0.6406,0.185,0.9917,0.1767,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity,0.6023,0.5175,0.9394,0.6673,0.3537,0.9394,0.2931,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_ontological,0.5123,0.4647,0.978,0.63,0.1687,0.978,0.1467,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy,0.5895,0.5089,0.9477,0.6622,0.3252,0.9477,0.2729,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_ontological,0.5895,0.5093,0.9063,0.6521,0.3557,0.9063,0.262,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_with_synonyms,0.5883,0.5081,0.9477,0.6615,0.3232,0.9477,0.2708,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_with_synonyms,0.5836,0.5051,0.9614,0.6622,0.3049,0.9614,0.2663,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity,0.5509,0.4853,0.9559,0.6438,0.252,0.9559,0.208,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_ontological,0.6199,0.5349,0.8017,0.6417,0.4858,0.8017,0.2874,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy,0.5544,0.4875,0.9642,0.6475,0.252,0.9642,0.2162,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_ontological,0.5813,0.5042,0.8347,0.6286,0.3943,0.8347,0.229,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_with_synonyms,0.5497,0.4846,0.9532,0.6425,0.252,0.9532,0.2052,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_with_synonyms,0.5579,0.4896,0.9752,0.6519,0.25,0.9752,0.2252,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity,0.793,0.7236,0.8292,0.7728,0.7663,0.8292,0.5955,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_ontological,0.8012,0.7506,0.7961,0.7727,0.8049,0.7961,0.601,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy,0.807,0.7415,0.8375,0.7865,0.7846,0.8375,0.622,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_ontological,0.7778,0.7168,0.7879,0.7507,0.7703,0.7879,0.5582,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.7614,0.674,0.8485,0.7512,0.6972,0.8485,0.5456,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_with_synonyms,0.752,0.6617,0.8512,0.7446,0.6789,0.8512,0.5301,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.6,0.5179,0.8375,0.64,0.4248,0.8375,0.2623,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
sequential_hierarchy_with_synonyms,0.5275,0.4416,0.427,0.4342,0.6016,0.427,0.0286,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
direct_entity,0.6725,0.621,0.5868,0.6034,0.7358,0.5868,0.3225,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity_ontological,0.6211,0.598,0.3278,0.4235,0.8374,0.3278,0.1652,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy,0.676,0.6387,0.5455,0.5884,0.7724,0.5455,0.3178,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy_ontological,0.614,0.641,0.2066,0.3125,0.9146,0.2066,0.1212,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity,0.5955,0.5176,0.9419,0.668,0.3319,0.9419,0.2737,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_ontological,0.6307,0.5424,0.9302,0.6852,0.4027,0.9302,0.3329,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy,0.593,0.5158,0.9477,0.668,0.323,0.9477,0.2707,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_ontological,0.5628,0.497,0.9477,0.652,0.2699,0.9477,0.2176,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_with_synonyms,0.6206,0.5325,1.0,0.6949,0.3319,1.0,0.3319,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_with_synonyms,0.6156,0.5292,1.0,0.6922,0.323,1.0,0.323,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity,0.6307,0.5494,0.8081,0.6541,0.4956,0.8081,0.3037,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_ontological,0.5503,0.489,0.907,0.6354,0.2788,0.907,0.1857,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy,0.6256,0.5441,0.8256,0.6559,0.4735,0.8256,0.299,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_ontological,0.5704,0.5018,0.8081,0.6192,0.3894,0.8081,0.1975,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_with_synonyms,0.7236,0.6123,0.9826,0.7545,0.5265,0.9826,0.5091,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_with_synonyms,0.7111,0.6,0.9942,0.7484,0.4956,0.9942,0.4898,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity,0.6281,0.5408,0.9244,0.6824,0.4027,0.9244,0.3271,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_ontological,0.6558,0.5697,0.8314,0.6761,0.5221,0.8314,0.3535,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy,0.6332,0.5442,0.9302,0.6867,0.4071,0.9302,0.3373,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_ontological,0.5729,0.5038,0.7791,0.6119,0.4159,0.7791,0.195,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_with_synonyms,0.706,0.5965,0.9884,0.744,0.4912,0.9884,0.4795,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_with_synonyms,0.6985,0.5897,0.9942,0.7403,0.4735,0.9942,0.4676,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity,0.8769,0.8361,0.8895,0.862,0.8673,0.8895,0.7568,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_ontological,0.8618,0.8421,0.8372,0.8397,0.8805,0.8372,0.7177,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy,0.8769,0.8361,0.8895,0.862,0.8673,0.8895,0.7568,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_ontological,0.8241,0.7772,0.8314,0.8034,0.8186,0.8314,0.65,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.9045,0.8526,0.9419,0.895,0.8761,0.9419,0.818,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_with_synonyms,0.902,0.8519,0.936,0.892,0.8761,0.936,0.8122,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.6784,0.594,0.8081,0.6847,0.5796,0.8081,0.3878,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
sequential_hierarchy_with_synonyms,0.6809,0.6619,0.5349,0.5916,0.792,0.5349,0.3269,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
direct_entity,0.6307,0.5776,0.5407,0.5586,0.6991,0.5407,0.2398,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity_ontological,0.6156,0.5798,0.4012,0.4742,0.7788,0.4012,0.1799,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy,0.6457,0.6281,0.4419,0.5188,0.8009,0.4419,0.2427,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy_ontological,0.5955,0.5618,0.2907,0.3831,0.8274,0.2907,0.1181,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity,0.4311,0.3915,0.9642,0.5569,0.1169,0.9642,0.0811,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_ontological,0.427,0.3898,0.9642,0.5551,0.1104,0.9642,0.0746,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy,0.428,0.3904,0.9669,0.5563,0.1104,0.9669,0.0773,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_ontological,0.4055,0.3821,0.978,0.5495,0.0682,0.978,0.0461,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_with_synonyms,0.4525,0.4002,0.9559,0.5642,0.1558,0.9559,0.1118,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_with_synonyms,0.4402,0.3955,0.9642,0.5609,0.1315,0.9642,0.0957,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity,0.4801,0.4094,0.9091,0.5646,0.2273,0.9091,0.1364,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity_ontological,0.4423,0.3947,0.9449,0.5568,0.1461,0.9449,0.091,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy,0.4964,0.4188,0.9229,0.5761,0.2451,0.9229,0.168,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy_ontological,0.5414,0.437,0.8209,0.5703,0.3766,0.8209,0.1976,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity_with_synonyms,0.524,0.433,0.9174,0.5883,0.2922,0.9174,0.2096,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy_with_synonyms,0.5036,0.4223,0.9201,0.5789,0.2581,0.9201,0.1782,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity,0.4341,0.3928,0.9642,0.5582,0.1218,0.9642,0.0859,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity_ontological,0.4688,0.4005,0.8705,0.5486,0.2321,0.8705,0.1027,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy,0.4362,0.3942,0.9697,0.5605,0.1218,0.9697,0.0915,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy_ontological,0.4505,0.3929,0.8843,0.5441,0.1948,0.8843,0.0791,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity_with_synonyms,0.4586,0.4019,0.9421,0.5634,0.1737,0.9421,0.1159,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy_with_synonyms,0.4545,0.4016,0.9614,0.5666,0.1558,0.9614,0.1173,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity,0.7406,0.6042,0.8705,0.7133,0.664,0.8705,0.5345,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity_ontological,0.716,0.5869,0.7906,0.6737,0.6721,0.7906,0.4627,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy,0.7365,0.6036,0.843,0.7034,0.6737,0.843,0.5167,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy_ontological,0.7109,0.582,0.7824,0.6675,0.6688,0.7824,0.4512,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity_with_synonyms,0.7487,0.6114,0.8843,0.723,0.6688,0.8843,0.5531,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy_with_synonyms,0.7549,0.618,0.8871,0.7285,0.6769,0.8871,0.564,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity,0.5637,0.5555,0.9602,0.7038,0.0983,0.9602,0.0586,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
direct_entity_ontological,0.5613,0.5539,0.9631,0.7033,0.09,0.9631,0.0531,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy,0.5652,0.5562,0.9631,0.7051,0.0983,0.9631,0.0614,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy_ontological,0.5567,0.5507,0.9716,0.703,0.07,0.9716,0.0416,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
direct_entity_with_synonyms,0.5759,0.561,0.9858,0.7151,0.095,0.9858,0.0808,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy_with_synonyms,0.5744,0.5605,0.9801,0.7132,0.0983,0.9801,0.0784,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
